Country,Literacy_Rate,Pop_15_29,HDI,WEF_Tech_Readiness_Index,WEF_Inno_Cap,ICT_Goods_X,ICT_Service_X,ICT_Goods_Imp,Access_DigContent,Intl_Int_Bandwidth,SN_Use,MobilePen,Fixed_BB_Subscribers,Internet_Pen,Econ_CyberPower,GDP_Cap,NtlReplies,Reso_Sponsor,FOC,G20,UNGGE,SecureServers,WEF_Uni_Indus,WGIVoiceAccountability,WGIPoliStab,WCITVote,PoliWeb,E-participation,CivicusEnabEnviro,InternetUsers,Population,USAID_NGO,FreedomHouse,DI_RegimeType,DIScore,BMStatus,EPgovern,InterestGroups,CSOtraditions,CSOIndex,EffectiveSupport,GovPartner,geo_longitude,geo_latitude
Romania,0,19.5,0.786,3.86,3.4,7.821129363,36.7034471,7.984901044,5.2,126.1,5.4,106.1366778,15.89712354,50,0,9036.036168,0,0,0,0,0,53.7,3.3,0.3,0.07,0,0,0.0789,0.59,50,21326905,3.5,F,Authoritarian Regime,3.74,8.17,9,7,5,6,8,8,24.6859225,45.9852129
Russian Federation,97.70193,20.4,0.788,4.13,3.5,0.256656641,31.92455578,7.693379792,5.1,31.7,5.1,183.5182139,14.4763115,53.3,31.7,14037.01545,4,1,0,0,1,27.1,3.6,-0.96,-0.82,1,5,0.6579,0.45,53.2748,143533000,4.4,NF,0,0,5.73,7,4,7,3,4,5,97.7453061,64.6863136
San Marino,98.83078,23.4,0,0,0,0,0,0,0,0,0,112.6936923,30.99702614,50.9,0,0,0,0,0,0,0,0,0,1.2,1.06,0,0,0,0,50.8826,31247,0,F,Authoritarian Regime,1.71,0,0,0,0,0,0,0,12.458306,43.9458623
Saudi Arabia,0,25,0.782,4.82,3.9,0,3.590032091,0,5.5,33,5.5,184.6788935,6.84808184,54,0,25136.21482,1,0,0,0,0,21.5,4.5,-1.8,-0.46,1,0,0.6316,0,54,28287855,0,NF,Flawed Democracy,6.33,4.35,1,3,9,3,5,6,42.3528328,25.6242618
Serbia,0,24.7,0.769,3.7,2.8,1.419023104,42.0019184,4.295099763,4.2,76.8,4.2,92.80270047,10.17575439,48.1,0,5189.579379,1,1,0,0,0,28.9,3.2,0.17,-0.22,0,0,0.2368,0.54,48.1,7223887,4.2,F,0,0,7.51,9,7,4,7,8,8,20.55144,44.1534121
Seychelles,98.01291,15.6,0.806,3.8,3.6,0,6.439606818,0,5.1,5.9,5.7,158.6251993,11.71517397,47.1,0,12858.1752,0,1,0,0,0,1348.8,3.4,0.09,0.75,0,0,0.0789,0,47.076,87784,0,PF,Hybrid Regime,5.88,0,0,0,0,0,0,0,55.4540146,-4.6574977
Singapore,43.2831,30.3,0.895,5.96,4.8,28.91076562,23.96139661,23.54167751,6.4,343.7,6.2,153.3975182,26.0830953,78.2,0,51709.4533,0,0,0,0,0,607.3,5.6,0.08,1.34,1,5,0.9474,0,74.1818,5312400,0,PF,Flawed Democracy,7.79,7.25,2,4,6,5,8,8,103.852038,1.2904527
South Africa,0,18.6,0.629,3.87,4.1,0.820225113,10.55610626,8.380118232,4.8,18.9,5.3,134.7976985,2.182179896,41,30.2,7507.67494,0,0,0,0,0,73.9,4.5,0.56,0,1,7,0.1579,0.59,41,51189306.61,3.6,F,Hybrid Regime,5.75,7.34,8,8,3,6,8,8,24.991639,-28.8166236
Sri Lanka,0,22.9,0.715,3.88,3.8,0.387768178,24.61713123,3.542381217,4.4,5.2,4.8,95.76187773,1.993983099,18.3,0,2923.209829,0,0,0,0,0,6,3,-0.6,-0.71,1,0,0.0789,0,18.2854,20328000,0,PF,Flawed Democracy,6.65,6.21,6,6,4,4,6,6,80.70435803,7.877
St. Lucia,0,30.9,0.725,0,0,0,9.095911326,0,0,0,0,127.6758496,13.82105133,48.6,0,6848.237633,0,1,0,0,0,0,0,1.11,0.91,1,0,0.1053,0,48.6281,180870,0,F,0,0,0,0,0,0,0,0,0,-60.975036,13.8250489
St.Kitts and Nevis,0,29.1,0.745,0,0,22.52237601,16.68546676,5.867519761,0,0,0,156.4333203,27.18960091,79.3,0,14313.97432,0,0,0,0,0,0,0,1.19,1,0,0,0.0526,0,79.34889896,53584,0,F,0,0,0,0,0,0,0,0,0,-62.7687277,17.3462278
St.Vincent and the Grenadines,0,22.8,0.733,0,0,0.665115285,23.79503813,3.571953429,0,0,0,123.881061,12.4498249,47.5,0,6515.217548,0,0,0,0,0,0,0,1.09,0.91,0,0,0.1053,0,47.52,109373,0,F,0,0,0,0,0,0,0,0,0,-61.2765569,12.90447
Suriname,71.93777,26.9,0.684,3.13,3.1,0.093134831,26.72860374,2.781698589,4.1,10,4.9,182.8988627,5.747180231,35.7,0,9376.495375,0,0,0,0,0,34,3.2,0.28,0.08,0,0,0,0,34.6812,534541,0,F,Authoritarian Regime,3.2,0,0,0,0,0,0,0,-56.0771187,4.1413025
Swaziland,0,32.2,0.563,2.69,3.2,0,0,0,3.9,2.3,5.1,65.96154729,0.268025119,20.8,0,3041.850459,0,0,0,0,0,0,3.2,-1.21,-0.4,1,0,0.0526,0,20.78178258,1230985,0,NF,Authoritarian Regime,1.63,0,0,0,0,0,0,0,31.3991317,-26.5624806
Syrian Arab Republic,0,30.2,0.648,0,0,0,0,0,0,0,0,61.21886911,1.789968505,24.3,0,3289.056325,1,1,0,0,0,0,0,-1.79,-2.69,0,0,0.0263,0,24.3001,22399254,0,NF,Authoritarian Regime,2.51,3.9,2,3,9,2,4,4,39.0494106,34.6401861
Tajikistan,84.05794,30.5,0.622,3.29,0,0,40.73527335,0,4.7,0.5,4.3,92.21960641,0.076284601,14.5,0,870.5421066,1,1,0,0,0,0.6,0,-1.37,-1.16,0,0,0,0.38,14.51,8008990,4.8,NF,0,0,3.5,2,2,8,4,6,3,71.2083055,38.825034
Thailand,0,22.5,0.69,3.86,3.4,15.57398749,16.18970684,11.91912197,4.7,24.6,5.4,120.2925445,6.234460521,26.5,0,5479.76058,1,0,0,0,0,16.6,3.9,-0.34,-1.21,1,5,0.3158,0.5,26.5,66785001,0,PF,Flawed Democracy,6.99,5.62,2,5,6,4,5,5,100.83273,14.8971921
Tonga,60.40995,26.8,0.71,0,0,0,0,0,0,0,0,53.38875595,1.430055963,34.9,0,4493.720255,0,0,0,0,0,0,0,0.44,0.93,0,0,0.0263,0,34.8609,104941,0,F,Hybrid Regime,5.67,0,0,0,0,0,0,0,-174.6044381,-19.1988696
Trinidad and Tobago,0,23.3,0.76,3.87,2.9,0,0,0,5.1,19.8,5.5,139.4288967,13.61296344,59.5,0,17436.50121,0,0,0,0,0,85.4,3.2,0.45,0.11,1,0,0.0789,0.64,59.5162,1337439,0,F,Authoritarian Regime,1.72,0,0,0,0,0,0,0,-60.9821067,10.8677845
Tunisia,98.83491,25.3,0.712,0,3.2,7.376833321,9.562124805,6.625126445,0,0,0,119.9564631,4.785207738,41.4,0,4236.793631,0,0,1,0,0,0,3.1,-0.19,-0.73,1,10,0.3684,0,41.4416,10777500,0,PF,Hybrid Regime,5.91,4.98,2,3,7,3,6,6,9.400138,33.8439408
Turkmenistan,94.10609,30.8,0.698,0,0,0,0,0,0,0,0,76.46537683,0.027081085,7.2,0,6797.734307,1,1,0,0,0,0,0,-2.21,0.35,0,0,0,0,7.1958,5172931,6.4,NF,Authoritarian Regime,2.58,3.54,2,2,10,1,3,2,59.3924609,39.3763807
Ukraine,0,20.5,0.74,3.87,3.2,0.891249774,19.20776943,2.58609117,5.4,9.8,5.2,132.0501538,8.10733928,33.7,0,3866.989792,3,1,0,0,0,17.7,3.4,-0.29,-0.1,1,0,0.1579,0.56,33.7,45593300,3.4,PF,Full Democracy,0,5.96,6,5,5,4,6,6,31.2718321,49.4871968
United Arab Emirates,99.71874,28.6,0.818,5.07,4,0,0,0,6.1,27.6,6.2,169.9416213,11.74191848,85,0,0,0,0,0,0,0,180.3,4.8,-1,0.88,1,3,0.7368,0,85,9205651,0,NF,Authoritarian Regime,1.72,5.73,1,3,8,4,8,8,53.9994829,24.0002488
Uruguay,93.59723224,23,0.792,4.16,3.4,0,15.87108995,0,0,32.1,5.7,147.2966255,16.60386126,55.1,0,14702.80039,0,0,0,0,0,70.4,3.6,1.02,0.71,1,7,0.1842,0.73,55.1146,3395253,0,F,Hybrid Regime,5.15,9.3,10,10,2,10,10,10,-56.0201525,-32.8755548
Uzbekistan,0,31.4,0.654,0,0,0,0,0,0,0,0,72.20763996,0.722034017,36.5,0,1716.526284,0,1,0,0,0,0,0,-1.98,-0.52,0,0,0.2368,0.29,36.5213,29776850,5.7,NF,Authoritarian Regime,2.89,3.01,2,2,8,1,3,2,63.9528098,41.3234715
Venezuela,83.22246,26.8,0.748,3.33,2.8,0.008479032,11.90583975,6.387965335,4.4,8.1,5.8,102.1000817,6.735698408,44,0,12728.72685,1,0,0,0,0,8.1,3.4,-0.92,-0.99,1,7,0.2632,0.43,44.0456,29954782,0,PF,Authoritarian Regime,2.67,4.47,2,3,4,3,2,2,-66.1109318,8.0018709
Viet Nam,0,28,0.617,3.74,3.4,0,0,0,5.3,10,4.7,149.4099973,4.955518134,39.5,0,1755.214016,0,1,0,0,0,4.7,3.3,-1.38,0.25,1,5,0.1053,0.37,39.49,88775500,0,NF,Flawed Democracy,7.57,4.84,2,2,9,4,7,8,108.4265113,13.2904027
Zimbabwe,83.58272,32.6,0.397,3.17,2.9,0,0,0,3.6,1.7,4.6,96.92828576,0.548999291,17.1,0,714.2330072,0,1,0,0,0,1.3,3.1,-1.45,-0.79,1,5,0.0263,0.35,17.0908,13724317,4.8,NF,Flawed Democracy,6.42,3.59,2,4,7,2,3,2,29.7468414,-18.4554963
